127.0.0.1 - - [15/Jul/2024:23:23:40 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:42 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:43 +0700] "GET /fpoly/index.jsp HTTP/1.1" 500 6543638
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:46 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:47 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:47 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:47 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:47 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:47 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:47 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:47 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:47 +0700] "GET /fpoly/index.jsp HTTP/1.1" 500 5696046
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:47 +0700] "GET /img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/views/TrangChu HTTP/1.1" 200 28205
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/1.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/vecteezy_youtube-logo-png-youtube-icon-transparent_18930572.png HTTP/1.1" 200 35953
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/2.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/3.jpg HTTP/1.1" 200 68175
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/4.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/7.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/6.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/8.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/5.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/9.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/11.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/12.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [15/Jul/2024:23:23:53 +0700] "GET /fpoly/img/abc.png HTTP/1.1" 404 776
